Source: USDA National Nutrient Database for Standard Reference Legacy Software v.3.9.1 2018-04-10
"Nutrients: Energy (kcal); Protein (g); Sugars, total (g)"
"Food Groups: Beef Products"
Food Subset:Abridged List
Ordered by:Nutrient Content
Measured by:100 g
Report Run at: 04-15-2018T12:48
NDB_NO,Description,"Energy"(kcal)Per 100 g,"Protein"(g)Per 100 g,"Sugars, total"(g)Per 100 g,
23297,"Beef, Australian, imported, grass-fed, seam fat, raw",562.0,9.58,0.0,,
13855,"Beef, rib, small end (ribs 10-12), separable lean and fat, trimmed to 1/8"" fat, choice, cooked, roasted",359.0,22.28,--,,
13918,"Beef, tenderloin, steak, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, broiled",267.0,26.46,0.0,,
13932,"Beef, top sirloin, steak, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, broiled",257.0,26.8,0.0,,
13980,"Beef, chuck, short ribs, boneless, separable lean only, trimmed to 0"" fat, choice, cooked, braised",250.0,28.84,0.0,,
13923,"Beef, tenderloin, steak, separable lean and fat, trimmed to 1/8"" fat, select, raw",249.0,19.37,0.0,,
13899,"Beef, round, top round, separable lean and fat, trimmed to 1/8"" fat, select, cooked, braised",225.0,34.6,0.0,,
13902,"Beef, round, top round, steak, separable lean and fat, trimmed to 1/8"" fat, prime, cooked, broiled",225.0,31.27,0.0,,
13896,"Beef, round, top round, steak, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, broiled",224.0,30.7,0.0,,
13467,"Beef, short loin, porterhouse steak, separable lean only, trimmed to 0"" fat, choice, cooked, broiled",224.0,25.51,0.0,,
13913,"Beef, loin, top loin, separable lean and fat, trimmed to 1/8"" fat, select, raw",224.0,20.59,0.0,,
13905,"Beef, short loin, porterhouse steak, separable lean and fat, trimmed to 1/8"" fat, choice, raw",218.0,20.36,0.0,,
23563,"Beef, ground, 90% lean meat / 10% fat, patty, cooked, broiled",217.0,26.11,0.0,,
13950,"Beef, brisket, flat half, separable lean and fat, trimmed to 0"" fat, select, cooked, braised",205.0,33.59,0.0,,
13228,"Beef, shank crosscuts, separable lean only, trimmed to 1/4"" fat, choice, cooked, simmered",201.0,33.68,--,,
13455,"Beef, top sirloin, steak, separable lean only, trimmed to 0"" fat, choice, cooked, broiled",188.0,30.29,0.0,,
23290,"Beef, top loin petite roast/filet, boneless, separable lean and fat, trimmed to 1/8"" fat, all grades, raw",187.0,21.1,0.0,,
23270,"Beef, ribeye cap steak, boneless, separable lean only, trimmed to 0"" fat, choice, raw",187.0,19.46,0.0,,
13967,"Beef, chuck, top blade, separable lean only, trimmed to 0"" fat, select, cooked, broiled",184.0,26.16,0.0,,
13985,"Beef, loin, bottom sirloin butt, tri-tip roast, separable lean only, trimmed to 0"" fat, all grades, cooked, roasted",182.0,26.75,0.0,,
13786,"Beef, chuck eye roast, boneless, America's Beef Roast, separable lean and fat, trimmed to 0"" fat, all grades, raw",180.0,19.18,0.0,,
13968,"Beef, round, top round steak, boneless, separable lean and fat, trimmed to 0"" fat, choice, cooked, grilled",170.0,30.12,0.0,,
13975,"Beef, brisket, flat half, boneless, separable lean and fat, trimmed to 0"" fat, choice, raw",169.0,20.15,0.0,,
13959,"Beef, round, top round steak, boneless, separable lean and fat, trimmed to 0"" fat, all grades, cooked, grilled",167.0,29.96,0.0,,
23260,"Beef, loin, top sirloin petite roast, boneless, separable lean only, trimmed to 0"" fat, select, cooked, roasted",165.0,29.35,0.0,,
13970,"Beef, flank, steak, separable lean and fat, trimmed to 0"" fat, all grades, raw",155.0,21.22,0.0,,
23302,"Beef, Australian, imported, grass-fed, loin, tenderloin steak/roast, boneless, separable lean and fat, raw",151.0,20.53,0.0,,
23265,"Beef, ribeye  petite roast/filet, boneless, separable lean only, trimmed to 0"" fat, select, raw",125.0,22.89,0.0,,
