Source: USDA National Nutrient Database for Standard Reference Legacy Software v.3.9.1 2018-04-10
"Nutrients: Energy (kcal); Protein (g); Sugars, total (g)"
"Food Groups: Cereal Grains and Pasta"
Food Subset:All Foods
Ordered by:Nutrient Content
Measured by:100 g
Report Run at: 04-28-2018T08:05
NDB_NO,Description,"Energy"(kcal)Per 100 g,"Protein"(g)Per 100 g,"Sugars, total"(g)Per 100 g,
20118,"Noodles, flat, crunchy, Chinese restaurant",521.0,10.33,0.25,,
20086,"Wheat flour, white, tortilla mix, enriched",405.0,9.66,--,,
20132,"Oat flour, partially debranned",404.0,14.66,0.8,,
20038,"Oats (Includes foods for USDA's Food Distribution Program)",389.0,16.89,--,,
20409,"Noodles, egg, dry, unenriched",384.0,14.16,1.88,,
20109,"Noodles, egg, dry, enriched",384.0,14.16,1.88,,
20647,"Millet flour",382.0,10.75,1.66,,
20111,"Noodles, egg, spinach, enriched, dry",382.0,14.61,--,,
20027,"Cornstarch",381.0,0.26,0.0,,
20048,"Rice, white, long-grain, precooked or instant, enriched, dry",380.0,7.82,0.05,,
20031,"Millet, raw",378.0,11.02,--,,
20028,"Couscous, dry",376.0,12.76,--,,
20018,"Corn flour, yellow, degermed, unenriched",375.0,5.59,0.64,,
20622,"Spaghetti, protein-fortified, dry, enriched (n x 6.25)",374.0,21.78,--,,
20446,"Rice, white, long-grain, parboiled, unenriched, dry",374.0,7.51,0.33,,
20046,"Rice, white, long-grain, parboiled, enriched, dry",374.0,7.51,0.33,,
20126,"Spaghetti, spinach, dry",372.0,13.35,2.72,,
20420,"Pasta, dry, unenriched",371.0,13.04,2.67,,
20001,"Amaranth grain, uncooked",371.0,13.56,1.69,,
20120,"Pasta, dry, enriched",371.0,13.04,2.67,,
20042,"Rice, brown, parboiled, dry, UNCLE BEN'S",370.0,7.6,0.5,,
20322,"Cornmeal, degermed, enriched, white",370.0,7.11,1.61,,
20022,"Cornmeal, degermed, enriched, yellow",370.0,7.11,1.61,,
20054,"Rice, white, glutinous, unenriched, uncooked",370.0,6.81,--,,
20422,"Cornmeal, degermed, unenriched, yellow",370.0,7.11,1.61,,
20522,"Cornmeal, degermed, unenriched, white",370.0,7.11,1.61,,
20035,"Quinoa, uncooked",368.0,14.12,--,,
20105,"Macaroni, vegetable, enriched, dry",367.0,13.14,--,,
20142,"Teff, uncooked",367.0,13.3,1.84,,
20036,"Rice, brown, long-grain, raw (Includes foods for USDA's Food Distribution Program)",367.0,7.54,0.66,,
20061,"Rice flour, white, unenriched",366.0,5.95,0.12,,
20444,"Rice, white, long-grain, regular, raw, unenriched",365.0,7.13,0.12,,
20014,"Corn grain, yellow",365.0,9.42,0.64,,
20044,"Rice, white, long-grain, regular, raw, enriched",365.0,7.13,0.12,,
