Source: USDA National Nutrient Database for Standard Reference Legacy Software v.3.9.1 2018-04-10
"Nutrients: Energy (kcal)"
"Food Groups: Poultry Products"
Food Subset:Abridged List
Ordered by:Nutrient Content
Measured by:100 g
Report Run at: 04-15-2018T12:54
NDB_NO,Description,"Energy"(kcal)Per 100 g,
05047,"Chicken, broilers or fryers, separable fat, raw",629.0,,
05674,"Chicken, skin (drumsticks and thighs), raw",440.0,,
05048,"Chicken, broilers or fryers, back, meat and skin, raw",319.0,,
05160,"Squab, (pigeon), meat and skin, raw",294.0,,
05002,"Chicken, broilers or fryers, meat and skin and giblets and neck, cooked, fried, batter",291.0,,
05008,"Chicken, broilers or fryers, meat and skin, cooked, fried, flour",269.0,,
05190,"Turkey, all classes, back, meat and skin, cooked, roasted",244.0,,
05044,"Chicken, broilers or fryers, dark meat, meat only, cooked, fried",239.0,,
05038,"Chicken, broilers or fryers, dark meat, meat and skin, cooked, stewed",233.0,,
05122,"Chicken, stewing, meat and skin, and giblets and neck, cooked, stewed",214.0,,
05666,"Turkey, ground, 93% lean, 7% fat, pan-broiled crumbles",213.0,,
05693,"Chicken, broiler, rotisserie, BBQ, back meat only",212.0,,
05081,"Chicken, broilers or fryers, leg, meat only, cooked, fried",208.0,,
05194,"Turkey, all classes, leg, meat and skin, cooked, roasted",208.0,,
05184,"Turkey, whole, dark meat, meat and skin, cooked, roasted",206.0,,
05070,"Chicken, broilers or fryers, drumstick, meat and skin, cooked, stewed",204.0,,
05072,"Chicken, broilers or fryers, drumstick, meat only, cooked, fried",195.0,,
05078,"Chicken, broilers or fryers, leg, meat and skin, cooked, roasted",184.0,,
05743,"Turkey, retail parts, thigh, meat and skin, cooked, roasted",183.0,,
05024,"Chicken, gizzard, all classes, cooked, simmered",154.0,,
05220,"Turkey, whole, breast, meat only, cooked, roasted",147.0,,
05664,"Turkey, ground, fat free, patties, broiled",138.0,,
05053,"Chicken, broilers or fryers, back, meat only, raw",137.0,,
05697,"Turkey from whole, light meat, meat only, with added solution, cooked, roasted",127.0,,
05105,"Chicken, broilers or fryers, wing, meat only, raw",126.0,,
05020,"Chicken, broilers or fryers, giblets, raw",124.0,,
05039,"Chicken, broilers or fryers, light meat, meat only, raw",114.0,,
05682,"Chicken, dark meat, thigh, meat only, with added solution, raw",110.0,,
05152,"Guinea hen, meat only, raw",110.0,,
05738,"Turkey, drumstick, from whole bird, meat only, raw",109.0,,
