Source: USDA National Nutrient Database for Standard Reference Legacy Software v.3.9.1 2018-04-10
"Nutrients: Energy (kcal)"
"Food Groups: Pork Products"
Food Subset:Abridged List
Ordered by:Nutrient Content
Measured by:100 g
Report Run at: 04-15-2018T12:52
NDB_NO,Description,"Energy"(kcal)Per 100 g,
10071,"Pork, fresh, shoulder, whole, separable lean and fat, cooked, roasted",292.0,,
10083,"Pork, fresh, shoulder, blade, boston (roasts), separable lean and fat, cooked, roasted",269.0,,
10954,"Pork, fresh, shoulder, (Boston butt), blade (steaks), separable lean and fat, with added solution, cooked, braised",263.0,,
10992,"Pork, fresh, loin, country-style ribs, separable lean and fat, bone-in, cooked, broiled",260.0,,
10008,"Pork, fresh, leg (ham), whole, separable lean and fat, raw",245.0,,
10022,"Pork, fresh, loin, whole, separable lean and fat, cooked, broiled",242.0,,
10055,"Pork, fresh, loin, sirloin (roasts), bone-in, separable lean and fat, cooked, roasted",230.0,,
10086,"Pork, fresh, shoulder, blade, boston (steaks), separable lean only, cooked, broiled",227.0,,
10986,"Pork, fresh, loin, country-style ribs, separable lean only, bone-in, cooked, broiled",216.0,,
10102,"Pork, fresh, variety meats and by-products, feet, raw",212.0,,
10011,"Pork, fresh, leg (ham), whole, separable lean only, cooked, roasted",211.0,,
10051,"Pork, fresh, loin, center rib (roasts), bone-in, separable lean only, cooked, roasted",206.0,,
10115,"Pork, fresh, variety meats and by-products, pancreas, raw",199.0,,
10990,"Pork, fresh, loin, blade (roasts), boneless, separable lean and fat, cooked, roasted",199.0,,
10976,"Pork, ground, 96% lean / 4% fat, cooked, crumbles",187.0,,
10936,"Pork, cured, ham, shank, bone-in, separable lean and fat, unheated",177.0,,
10955,"Pork, cured, ham, rump, bone-in, separable lean and fat, unheated",176.0,,
10069,"Pork, fresh, loin, top loin (roasts), boneless, separable lean only, cooked, roasted",173.0,,
10984,"Pork, fresh, loin, blade (chops), boneless, separable lean only, boneless, cooked, broiled",169.0,,
10953,"Pork, fresh, shoulder, (Boston butt), blade (steaks), separable lean and fat,with added solution, raw",169.0,,
10989,"Pork, fresh, loin, blade (chops or roasts), boneless, separable lean and fat only, raw",157.0,,
10927,"Pork, cured, ham with natural juices, spiral slice, boneless, separable lean and fat, heated, roasted",139.0,,
10097,"Pork, fresh, variety meats and by-products, brain, cooked, braised",138.0,,
10932,"Pork, cured, ham, rump, bone-in, separable lean only, unheated",125.0,,
10934,"Pork, cured, ham, shank, bone-in, separable lean only, unheated",125.0,,
10921,"Pork, cured, ham and water product, slice, boneless, separable lean and fat, heated, pan-broil",124.0,,
10982,"Pork, fresh, loin, blade (chops or roasts), boneless, separable lean only, raw",123.0,,
10973,"Pork, ground, 96% lean / 4% fat, raw",121.0,,
10951,"Pork, fresh, loin, tenderloin, separable lean and fat, with added solution, raw",114.0,,
10963,"Pork, Leg sirloin tip roast, boneless, separable lean and fat, raw",113.0,,
10944,"Pork, fresh, enhanced, loin, tenderloin, separable lean only, raw",106.0,,
