Source: USDA National Nutrient Database for Standard Reference Legacy Software v.3.9.1 2018-04-10
"Nutrients: Energy (kcal); Protein (g); Sugars, total (g)"
"Food Groups: Vegetables and Vegetable Products"
Food Subset:Abridged List
Ordered by:Nutrient Content
Measured by:100 g
Report Run at: 04-15-2018T13:41
NDB_NO,Description,"Energy"(kcal)Per 100 g,"Protein"(g)Per 100 g,"Sugars, total"(g)Per 100 g,
11378,"Potatoes, mashed, dehydrated, flakes without milk, dry form",354.0,8.34,3.36,,
11284,"Onions, dehydrated flakes",349.0,8.95,37.41,,
11982,"Peppers, pasilla, dried",345.0,12.35,--,,
11237,"Kanpyo, (dried gourd strips)",258.0,8.58,--,,
11364,"Potatoes, baked, skin, without salt",198.0,4.29,1.4,,
11048,"Beans, pinto, immature seeds, frozen, unprepared",170.0,9.8,--,,
11406,"Potatoes, french fried, cottage-cut, salt not added in processing, frozen, as purchased",153.0,2.42,--,,
11215,"Garlic, raw",149.0,6.36,1.0,,
11450,"Soybeans, green, raw",147.0,12.95,--,,
11451,"Soybeans, green, cooked, boiled, drained, without salt",141.0,12.35,--,,
11196,"Cowpeas (blackeyes), immature seeds, frozen, cooked, boiled, drained, without salt",132.0,8.49,4.46,,
11039,"Lima beans, immature seeds, frozen, baby, unprepared",132.0,7.59,--,,
11361,"Potatoes, roasted, salt added in processing, frozen, unprepared",127.0,2.22,0.69,,
11316,"Peas, mature seeds, sprouted, raw",124.0,8.8,--,,
11032,"Lima beans, immature seeds, cooked, boiled, drained, without salt",123.0,6.81,1.63,,
11383,"Potatoes, mashed, dehydrated, prepared from granules with milk, water and margarine added",116.0,2.13,1.74,,
11211,"Edamame, frozen, unprepared",109.0,11.22,2.48,,
11647,"Sweet potato, canned, syrup pack, drained solids",108.0,1.28,5.74,,
11381,"Potatoes, mashed, dehydrated, prepared from granules without milk, whole milk and butter added",108.0,2.05,--,,
11037,"Lima beans, immature seeds, frozen, fordhook, unprepared",106.0,6.4,1.39,,
11040,"Lima beans, immature seeds, frozen, baby, cooked, boiled, drained, without salt",105.0,6.65,1.37,,
11379,"Potatoes, mashed, dehydrated, prepared from flakes without milk, whole milk and butter added",97.0,1.77,1.61,,
11192,"Cowpeas (blackeyes), immature seeds, cooked, boiled, drained, without salt",97.0,3.17,3.23,,
11356,"Potatoes, Russet, flesh and skin, baked",95.0,2.63,1.08,,
11875,"Sweet potato, cooked, baked in skin, flesh, with salt",90.0,2.01,6.48,,
11191,"Cowpeas (blackeyes), immature seeds, raw",90.0,2.95,3.0,,
11178,"Corn, sweet, yellow, frozen, kernels cut off cob, unprepared (Includes foods for USDA's Food Distribution Program)",88.0,3.02,2.5,,
11372,"Potatoes, scalloped, home-prepared with butter",88.0,2.87,--,,
11105,"Burdock root, cooked, boiled, drained, without salt",88.0,2.09,3.55,,
11833,"Potatoes, boiled, cooked without skin, flesh, with salt",86.0,1.71,0.89,,
11367,"Potatoes, boiled, cooked without skin, flesh, without salt",86.0,1.71,0.89,,
11259,"Mountain yam, hawaii, cooked, steamed, without salt",82.0,1.73,--,,
11453,"Soybeans, mature seeds, sprouted, cooked, steamed",81.0,8.47,0.52,,
11179,"Corn, sweet, yellow, frozen, kernels cut off cob, boiled, drained, without salt",81.0,2.55,3.07,,
11304,"Peas, green, raw",81.0,5.42,5.67,,
11216,"Ginger root, raw",80.0,1.82,1.7,,
11176,"Corn, sweet, yellow, canned, vacuum pack, regular pack",79.0,2.41,5.59,,
11006,"Arrowhead, cooked, boiled, drained, without salt",78.0,4.49,--,,
11352,"Potatoes, flesh and skin, raw",77.0,2.05,0.82,,
11154,"Chicory roots, raw",72.0,1.4,8.73,,
11258,"Mountain yam, hawaii, raw",67.0,1.34,0.31,,
11177,"Corn, sweet, yellow, canned, drained solids, rinsed with tap water",64.0,2.18,4.11,,
11170,"Corn, sweet, yellow, canned, brine pack, regular pack, solids and liquids",61.0,1.95,4.15,,
11225,"Hyacinth-beans, immature seeds, cooked, boiled, drained, without salt",50.0,2.95,--,,
11868,"Squash, winter, hubbard, baked, with salt",50.0,2.48,4.9,,
11323,"Peas and carrots, frozen, cooked, boiled, drained, without salt",48.0,3.09,4.36,,
11200,"Yardlong bean, cooked, boiled, drained, without salt",47.0,2.53,--,,
11526,"Taro, tahitian, cooked, without salt",44.0,4.16,--,,
11098,"Brussels sprouts, raw",43.0,3.38,2.2,,
11080,"Beets, raw",43.0,1.61,6.76,,
11300,"Peas, edible-podded, raw",42.0,2.8,4.0,,
11302,"Peas, edible-podded, frozen, unprepared",42.0,2.8,--,,
11553,"Tomato products, canned, sauce, with onions",42.0,1.56,--,,
11557,"Tomato products, canned, sauce, with onions, green peppers, and celery",41.0,0.94,7.36,,
11124,"Carrots, raw",41.0,0.93,4.74,,
11486,"Squash, winter, butternut, cooked, baked, without salt",40.0,0.9,1.97,,
11282,"Onions, raw",40.0,1.1,4.24,,
11563,"Tree fern, cooked, without salt",40.0,0.29,--,,
11488,"Squash, winter, butternut, frozen, cooked, boiled, without salt",39.0,1.23,--,,
11888,"Tomato products, canned, puree, with salt added",38.0,1.65,4.83,,
11547,"Tomato products, canned, puree, without salt added",38.0,1.65,4.83,,
11232,"Jute, potherb, cooked, boiled, drained, without salt",37.0,3.68,1.0,,
11620,"Drumstick pods, raw",37.0,2.1,--,,
11130,"Carrots, frozen, unprepared (Includes foods for USDA's Food Distribution Program)",36.0,0.78,4.76,,
11289,"Onions, frozen, whole, unprepared",35.0,0.89,3.81,,
11233,"Kale, raw",35.0,2.92,0.99,,
11484,"Squash, winter, acorn, cooked, boiled, mashed, without salt",34.0,0.67,--,,
11865,"Squash, winter, acorn, cooked, boiled, mashed, with salt",34.0,0.67,--,,
11893,"Turnip greens and turnips, frozen, cooked, boiled, drained, with salt",34.0,2.99,0.95,,
11163,"Collards, frozen, chopped, unprepared",33.0,2.69,--,,
11203,"Cress, garden, raw",32.0,2.6,4.4,,
11559,"Tomato products, canned, sauce, with tomato tidbits",32.0,1.32,--,,
11239,"Mushrooms, Chanterelle, raw",32.0,1.49,1.16,,
11294,"Onions, sweet, raw",32.0,0.8,5.02,,
11247,"Leeks, (bulb and lower leaf-portion), cooked, boiled, drained, without salt",31.0,0.81,2.11,,
11965,"Cauliflower, green, raw",31.0,2.95,3.03,,
11491,"Squash, winter, hubbard, cooked, boiled, mashed, without salt",30.0,1.48,2.93,,
11280,"Okra, frozen, unprepared",30.0,1.69,2.97,,
11082,"Beets, canned, regular pack, solids and liquids",30.0,0.73,6.53,,
11869,"Squash, winter, hubbard, cooked, boiled, mashed, with salt",30.0,1.48,2.93,,
11575,"Turnip greens, frozen, cooked, boiled, drained, without salt",29.0,3.35,0.75,,
11287,"Onions, frozen, chopped, unprepared",29.0,0.79,--,,
11281,"Okra, frozen, cooked, boiled, drained, without salt",29.0,1.63,2.87,,
11892,"Turnip greens, frozen, cooked, boiled, drained, with salt",29.0,3.35,0.75,,
11481,"Squash, summer, zucchini, italian style, canned",29.0,1.03,--,,
11201,"Cowpeas, leafy tips, raw",29.0,4.1,--,,
11243,"Mushrooms, portabella, grilled",29.0,3.28,2.26,,
11029,"Beans, kidney, mature seeds, sprouted, raw",29.0,4.2,--,,
11235,"Kale, frozen, unprepared",28.0,2.66,0.85,,
11061,"Beans, snap, green, frozen, cooked, boiled, drained without salt",28.0,1.49,1.88,,
11290,"Onions, frozen, whole, cooked, boiled, drained, without salt",28.0,0.71,2.9,,
11093,"Broccoli, frozen, chopped, cooked, boiled, drained, without salt",28.0,3.1,1.47,,
11288,"Onions, frozen, chopped, cooked, boiled, drained, without salt",28.0,0.77,2.9,,
11447,"Sesbania flower, raw",27.0,1.28,--,,
11026,"Bamboo shoots, raw",27.0,2.6,3.0,,
11533,"Tomatoes, red, ripe, canned, stewed",26.0,0.91,3.52,,
11092,"Broccoli, frozen, chopped, unprepared",26.0,2.81,1.35,,
11959,"Arugula, raw",25.0,2.58,2.05,,
11474,"Squash, summer, crookneck and straightneck, frozen, cooked, boiled, drained, without salt",25.0,1.28,2.33,,
11128,"Carrots, canned, regular pack, drained solids",25.0,0.64,2.48,,
11567,"Turnips, frozen, cooked, boiled, drained, without salt",23.0,1.53,2.35,,
11457,"Spinach, raw",23.0,2.86,0.42,,
11758,"Carrots, canned, no salt added, solids and liquids",23.0,0.59,2.46,,
11096,"Broccoli raab, raw",22.0,3.17,0.38,,
11086,"Beet greens, raw",22.0,2.2,0.5,,
11012,"Asparagus, cooked, boiled, drained",22.0,2.4,1.3,,
11578,"Vegetable juice cocktail, canned",22.0,0.93,2.84,,
11574,"Turnip greens, frozen, unprepared",22.0,2.47,--,,
